Seed, Diametar, Diameter Gap, ASPL, ASPL Gap, switches, computing-time(sec.)
"=INDEX(A4:A33,MATCH(D2,D4:D33,0))","=INDEX(B4:B33,MATCH(D2,D4:D33,0))","=INDEX(C4:C33,MATCH(D2,D4:D33,0))",=MIN(D4:D33),"=INDEX(E4:E33,MATCH(D2,D4:D33,0))","=INDEX(F4:F33,MATCH(D2,D4:D33,0))","=INDEX(G4:G33,MATCH(D2,D4:D33,0))", BEST
=AVERAGE(A4:A33),=AVERAGE(B4:B33),=AVERAGE(C4:C33),=AVERAGE(D4:D33),=AVERAGE(E4:E33),=AVERAGE(F4:F33),=AVERAGE(G4:G33),AVERAGE
0, 5, 1, 4.066110461, 0.3418917106, 155, 693.423
1, 5, 1, 4.069078113, 0.3448593628, 153, 808.921
2, 5, 1, 4.062998878, 0.3387801278, 155, 817.157
3, 5, 1, 4.067866901, 0.3436481509, 157, 818.937
4, 5, 1, 4.066382465, 0.3421637149, 153, 838.985
5, 5, 1, 4.067082601, 0.3428638515, 155, 835.391
6, 5, 1, 4.065110265, 0.3408915154, 153, 778.61
7, 5, 1, 4.067311915, 0.3430931645, 155, 833.39
8, 5, 1, 4.067500976, 0.3432822258, 157, 839.203
9, 5, 1, 4.066464188, 0.3422454381, 157, 810.093
10, 5, 1, 4.064361339, 0.3401425888, 151, 784.218
11, 5, 1, 4.067170423, 0.3429516735, 157, 819.499
12, 5, 1, 4.0680645, 0.3438457504, 153, 801.688
13, 5, 1, 4.066606899, 0.3423881489, 155, 778.328
14, 5, 1, 4.066022639, 0.3418038886, 155, 747.811
15, 5, 1, 4.064367438, 0.3401486875, 157, 667.437
16, 5, 1, 4.064285714, 0.3400669643, 156, 716.766
17, 5, 1, 4.067411934, 0.343193184, 153, 821.891
18, 5, 1, 4.067514393, 0.3432956431, 153, 822.062
19, 5, 1, 4.069050059, 0.3448313085, 155, 820.438
20, 5, 1, 4.067449746, 0.3432309963, 153, 811.375
21, 5, 1, 4.064776054, 0.3405573039, 153, 804.781
22, 5, 1, 4.067720531, 0.3435017808, 151, 827.094
23, 5, 1, 4.068460919, 0.3442421692, 151, 835.36
24, 5, 1, 4.068978093, 0.3447593433, 151, 815.093
25, 5, 1, 4.068266979, 0.3440482289, 155, 832.172
26, 5, 1, 4.066492242, 0.3422734924, 155, 823.922
27, 5, 1, 4.067450966, 0.343232216, 155, 822.203
28, 5, 1, 4.066109241, 0.3418904908, 157, 792.797
29, 5, 1, 4.065566452, 0.341347702, 155, 765.14
