Seed, Diametar, Diameter Gap, ASPL, ASPL Gap, switches, computing-time(sec.)
"=INDEX(A4:A33,MATCH(D2,D4:D33,0))","=INDEX(B4:B33,MATCH(D2,D4:D33,0))","=INDEX(C4:C33,MATCH(D2,D4:D33,0))",=MIN(D4:D33),"=INDEX(E4:E33,MATCH(D2,D4:D33,0))","=INDEX(F4:F33,MATCH(D2,D4:D33,0))","=INDEX(G4:G33,MATCH(D2,D4:D33,0))", BEST
=AVERAGE(A4:A33),=AVERAGE(B4:B33),=AVERAGE(C4:C33),=AVERAGE(D4:D33),=AVERAGE(E4:E33),=AVERAGE(F4:F33),=AVERAGE(G4:G33),AVERAGE
0, 5, 1, 4.147742481, 0.341214447, 331, 4191.625
1, 5, 1, 4.147986451, 0.341458417, 325, 4474.233
2, 5, 1, 4.146931602, 0.3404035688, 331, 4363.156
3, 5, 1, 4.145727685, 0.3391996509, 330, 3860.094
4, 5, 1, 4.14698979, 0.3404617559, 330, 3867.048
5, 5, 1, 4.147761599, 0.3412335656, 330, 3978.14
6, 5, 1, 4.148123606, 0.3415955722, 330, 3960.907
7, 5, 1, 4.147025394, 0.3404973608, 330, 3304.891
8, 5, 1, 4.147058229, 0.3405301949, 330, 3284.032
9, 5, 1, 4.14726507, 0.3407370361, 331, 3390.734
10, 5, 1, 4.146385752, 0.3398577188, 330, 3301.157
11, 5, 1, 4.146214655, 0.3396866211, 327, 3316.749
12, 5, 1, 4.146053809, 0.3395257755, 331, 3441.234
13, 5, 1, 4.146630831, 0.3401027971, 333, 3383.61
14, 5, 1, 4.146462227, 0.3399341932, 331, 3273.016
15, 5, 1, 4.146673501, 0.3401454676, 331, 4163.188
16, 5, 1, 4.146437013, 0.3399089788, 328, 4405.329
17, 5, 1, 4.147461382, 0.3409333481, 328, 4373.703
18, 5, 1, 4.147898893, 0.3413708594, 327, 3898.875
19, 5, 1, 4.147753702, 0.3412256688, 327, 3847.016
20, 5, 1, 4.146784195, 0.3402561616, 327, 4010.641
21, 5, 1, 4.147405273, 0.3408772392, 328, 4005.281
22, 5, 1, 4.146867735, 0.3403397016, 327, 3287.61
23, 5, 1, 4.147595766, 0.3410677325, 326, 3288.469
24, 5, 1, 4.147638714, 0.3411106801, 330, 3364.032
25, 5, 1, 4.147986174, 0.34145814, 330, 3377.469
26, 5, 1, 4.14636608, 0.339838046, 331, 3491.296
27, 5, 1, 4.14787548, 0.341347446, 326, 3328.688
28, 5, 1, 4.147190119, 0.3406620856, 329, 3427.375
29, 5, 1, 4.14713401, 0.3406059766, 331, 3329.188
