Seed, Diametar, Diameter Gap, ASPL, ASPL Gap, switches, computing-time(sec.)
"=INDEX(A4:A33,MATCH(D2,D4:D33,0))","=INDEX(B4:B33,MATCH(D2,D4:D33,0))","=INDEX(C4:C33,MATCH(D2,D4:D33,0))",=MIN(D4:D33),"=INDEX(E4:E33,MATCH(D2,D4:D33,0))","=INDEX(F4:F33,MATCH(D2,D4:D33,0))","=INDEX(G4:G33,MATCH(D2,D4:D33,0))", BEST
=AVERAGE(A4:A33),=AVERAGE(B4:B33),=AVERAGE(C4:C33),=AVERAGE(D4:D33),=AVERAGE(E4:E33),=AVERAGE(F4:F33),=AVERAGE(G4:G33),AVERAGE
0, 6, 1, 5.128465222, 0.8049070595, 342, 1857.609
1, 7, 2, 5.128354487, 0.8047963251, 341, 1959.484
2, 6, 1, 5.130477532, 0.8069193701, 340, 1934.126
3, 6, 1, 5.130393527, 0.8068353647, 339, 1984.031
4, 6, 1, 5.129647025, 0.8060888624, 340, 1921.688
5, 6, 1, 5.130315249, 0.806757087, 340, 1906.672
6, 6, 1, 5.131834983, 0.8082768206, 345, 1798.345
7, 6, 1, 5.130656998, 0.8070988361, 343, 1668.532
8, 6, 1, 5.129431284, 0.8058731213, 344, 1751
9, 7, 2, 5.128196023, 0.8046378605, 337, 1696.906
10, 7, 2, 5.130910924, 0.8073527615, 340, 1721.75
11, 6, 1, 5.130819282, 0.8072611193, 339, 1724.421
12, 6, 1, 5.131254582, 0.8076964198, 344, 1791.578
13, 6, 1, 5.12948856, 0.8059303977, 341, 1713.031
14, 6, 1, 5.129736758, 0.8061785954, 338, 1727.14
15, 6, 1, 5.129967772, 0.8064096102, 344, 1856.922
16, 6, 1, 5.131023567, 0.8074654051, 343, 1956.61
17, 6, 1, 5.128763059, 0.8052048967, 338, 1918.077
18, 6, 1, 5.129555382, 0.8059972202, 339, 1958.281
19, 6, 1, 5.129601204, 0.8060430413, 340, 1924.453
20, 6, 1, 5.130099508, 0.8065413459, 343, 2028.843
21, 6, 1, 5.130068961, 0.8065107985, 344, 1809.844
22, 6, 1, 5.129450376, 0.8058922135, 344, 1687.484
23, 6, 1, 5.129360643, 0.8058024804, 342, 1714.766
24, 6, 1, 5.130025049, 0.8064668866, 339, 1676.391
25, 6, 1, 5.128619868, 0.8050617058, 339, 1717.86
26, 6, 1, 5.130254154, 0.8066959922, 339, 1702
27, 6, 1, 5.128029921, 0.8044717589, 337, 1753.796
28, 6, 1, 5.127718719, 0.8041605572, 341, 1734.843
29, 6, 1, 5.129916224, 0.8063580615, 344, 1760.875
